N° Inventario;N° Posizione;NumeroScaffale;Dati proprietario;Argomento;Autore;Titolo;Sottotitolo;Parte di;Editore;LuogoDiPubblicazione;AnnoDiPubblicazione;Pagine;NumeroEdizione;Donazione di;Note;Ricerche;Tipologia;Prestito
1.055;02\06\049;;;Storia medioevale;Venesia Piero;Il Medioevo in Canavese;Aspetti di vita popolare vol.2;;;Ivrea;1.997;170;;;;;;
1.056;02\06\050;;;Storia medioevale;Scarabosio Alberto;Glossario medievale illustrato;;;Chiaramonte;;;50;;;;;;
1.063;02\06\051;;;Storia medioevale;Chiarle Giancarlo;Baratonia;Dinnastia e castello;;Graffio;Borgone  di Susa;2.012;120;;;;;;
1.064;02\06\052;;;Storia medioevale;AA.VV.;Nimbus rivista;clima medievale;;società meteorologica subalpina;bussoleno;2.010;64;;;;;;
1.068;02\06\053;;;Storia medioevale;;Sorano;storia di una comunità;;centro editoriale toscana;;2.002;569;;;;;;
241;02\07\001;;;Storia moderna;;;;;;;;;1;;;;;
242;02\07\002;;;Storia moderna;;;;;;;;;;;;;;
243;02\07\003;;;Storia moderna;Pessani S., Tartari C.M., Perina Pirotta A.D.R.;""" Il Torrettone """;;Tra Milanese, Cremasco e Bergamasca;Editrice il Fiume;Rodano (MI);1.989;135;1;;Creato con la collaborazione del Gruppo Archeologico Est-milanese;"Monografia sulla storia del ""Torrettone"", rapporti politico-economico-militari con i territori d'oltre Adda, descrizione dei lavori di restauro conservativo compiuti dal Gaem su indicazioni della Soprintendenza ai Beni Ambientali ed Architettonici della Lombardia, ritrovamenti archeologici.";Raccolta di saggi;
244;02\07\004;;;Storia moderna;;;;;;;;;;;;;;
245;02\07\005;;;Storia moderna;;;;;;;;;;;;;;
1.000;02\07\006;;;Storia moderna;;;;;;;;;;;;;;
466;02\11\001;;;Civiltà precolombiane;Gruzinski S.;Gli aztechi;Il tragico destino di un impero;;Electa\Gallimard;Parigi;1.994;200;;;;;;
246;03\00\001;;;Arte generale;;;;;;;;;;;;;;
247;03\00\002;;;Arte generale;;;;;;;;;;;;;;
248;03\00\003;;;Arte generale;;;;;;;;;;;;;;
249;03\00\004;;;Arte generale;;;;;;;;;;;;;;
441;03\00\005;;;Arte generale;;;;;;;;;;;;;;
250;03\01\001;;;Arte miscellanea;;;;;;;;;;;;;;
311;03\01\002;;;Arte miscellanea;AA.VV.;Il tesoro della città;Opere d'arte e oggettipreziosi da Palazzo Madama;;Allemandi;Torino;1.996;230;;;;"indice

II Tesoro della Città 
Tavole a colori 
i Acquisti e doni: il Museo cresce 
y Memorie della città e del Piemonte 
43 Arte e industria 
ng Opere dalle Residenze Ducali 
18^ Aperture internazionali

20^ I tracciati storici del Museo Civico a Palazzo Madama 
221 Bibliografìa";;
537;03\01\003;;;Arte miscellanee;AA.VV.;I colori del tempo;un percorso nella pittura italiana attraverso XXV capolavori dal XIV al XVIII secolo;;San Paolo;Torino;1.999;255;;;;"18   TRECENTO Graziano Alfredo Vergani
20 GlOTTO, COMPIANTO SUL CRISTO MORTO.
l'diini'ti, dippi.'llti degli -Scrovegni
32  DUCCIO DI BONINSEGNA, MAESTÀ. Siena, Museo dell'Opera del Duomo
44  Composi:ionc della Maestà di Duccio.
46  SlMONE MARTINI, PALA DI SAN LUDOVICO DI TOLOSA. Napoli, Museo Nazionale di Capodimonte
54  AMBROGIO LORENZETTI, ALLEGORIA DEL BUON GOVERNO. Siena, l'n(ti,,i) Pubblico, Sala della Pace
66   Realizzazione dell'Affresco di Ambrogio Lorenzetti
68   ALTICHIERO DA ZEVIO, CROCIFISSIONE. Padova, Oratorio di San Giorgio
172 SEICENTO Rodolfo Pro/urna
174 ANNIBALE CARPACCI, FUGA IN EGITTO.
Roma, Galleria Dona Pamphilj
180 CARAVAGGIO, DECOLLAZIONE DEL BATTISTA.
La Valletto, Cappella della Misericordia, Cattedrale di San Giovanni
190 GUIDO RENI, STRAGE DEGLI INNOCENTI. Bologna, Pinacoteca Nazionale
196 Composizione della Strage degli Innocenti di Reni
198 PIETRO DA CORTONA, TRIONFO DELLA DIVINA PROVVIDENZA.
Roma, Palazzo Barherini
206 EVARISTO BASCHENIS, NATURA MORTA
CON STRUMENTI MUSICALI. Miiano, Pinacoteca di Brera
76   QUATTROCENTO Ranella Bentivoglio Ravasio
78  GENTILE DA FABRIANO, ADORAZIONE DEI MAGI. Firenze, Galleria degli Uffizi
88  La bottega di Gentile da Fabriano
90  MASACCIO, TRIBUTO.
Firenze, Chiesa di Santa Maria del Cannine, Cappella Brancacci
100 PIERO DELLA FRANCESCA, FLAGELLAZIONE DI CRISTO. I 'rhino, (. ìiilleria Nayonale delle Marcile
108 Li prospettiva in Piero della Francesca
110 SANDRO BOTTICELLI, PRIMAVERA. Firenze, ( mlli.'n'a degli I ^fi^i
1 18 LEONARDO DA VINCI, VERGINE DELLE ROCCE.
Parigi, Museo del LOUITC
128 CINQUECEN TO Ragade Casciaro
130 GlORGIONE, TEMPESTA.
Venezia, Gallerie dell'Accademia
138 RAFFAELLO, TRASFIGURAZIONE. Citta del Vaticano, Pinacoteca Vaticana
148 PONTORMO, COMPIANTO SUL CORPO DI CRISTO
(LA ""DEPOSIZIONE""). Firenze, Chiesa di Santa Felicita, Cappella Capponi
154 Composizione della Deposizione di Pontormo
156 CORREGGIO, ASSUNZIONE DELLA VERGINE. Panna, Duomo, cupola
164 TIZIANO VECELLIO, CARLO V A CAVALLO.
N'fddrid. Museo del Prado
214 SETTECENTO Rodolfo Profumo
216 GIAMBATTISTA TIEPOLO, RACHELE NASCONDE
GLI IDOLI RUBATI AL PADRE. Udine, Palazzo Arcivescovile
224 ALESSANDRO MAGNASCO, TRATTENIMENTO
IN UN GIARDINO DI ALBARO. Genova, Palazzo Bianco
232 CANALETTO, IL BUCINTORO AL MOLO
IL GIORNO DELL'ASCENSIONE. Collezione privata
240 La camera ottica di Canaletto
242 FRA GALGARIO, GENTILUOMO CON TRICORNO. Milano, Museo Poidi Pezzali
248 GIACOMO CERUTI, TRÉ PITOCCHI.
Madrid, Fondazione Collezione Thyssen Bomemisza
254 NOTA BIBLIOGRAFICA";;
538;03\01\004;;;Arte miscellanee;AA.VV.;Il laboratorio del restauro a Firenze;;;San Paolo;Torino;1.986;239;;;;"Presentazione ......................	3
1 Prima del laboratorio ...............	9
2 La nascita del laboratorio ............	33
3 Mostre e restauri fra dopoguerra e alluvione .	57
4 La questione degli affreschi -
Le mostre degli affreschi staccati .........	103
5 L'alluvione .....................	135
6 Gli anni di ""Firenze Restaura"" .........	183
7 La riforma istituzionale e il nuovo laboratorio .	203 Bibliografia .......................	233
ìndice dei nomi ....................	236";;
312;03\01\005;;;Arte miscellanea;;;;;;;;;;;;;;
512;03\01\006;;;Arte miscellanea;AA.VV:;alpi gotiche;L'alta montagna sfondo del revival medievale;;Museo nazionale della montagna;Torino;1.998;192;;;;"SOMMARIO

PRESENTAZIONE                       7 
PROGRAMMA DELLE GIORNATE DI STUDIO 9

ALPI GOTICHE. L'ALTA MONTAGNA

SFONDO DEL REVIVAL GOTICO           11

Cristina Natta-Soleri

TRENT'ANNI DOPO                       15 
Enrico Casteinuovo

LA SCOPERTA SETTECENTESCA

DELLA MONTAGNA                   19

Franco Brevini

IL ""LABORATORIO DELLA NATURA"". 
L'ESPLORAZIONE DELLA MONTAGNA NEL 
DIBATTITO SCIENTIFICO DEL SETTECENTO 30 
Marco Cuaz

LE ALPI NELLA PITTURA ROMANTICA      44 
Valentina Anker

LA METAFORA DELLA MONTAGNA 
NELL'ARCHITETTURA DI VIOLLET-LE-DUC 53

Jacques Gubler

LE ALPI, LA FEDE E IL GOTICO

NEL PENSIERO ESTETICO DI RUSKIN       55

Annie Paule Quinsac

LA MONTAGNA E IL MITO. ""COMPLICITÀ"" 
NELL'ICONOGRAFIA DEL PRINCIPE LUDWIG 62 
Cristina Giannini

WALPURGISNACHT... 
Francesco Pennarola 

72

LE ALPI DIPINTE. IL PAESAGGIO ALPINO 
TRA ""PITTORESCO"" E ""SUBLIME"" NEL 
MELODRAMMA TRA SETTE E OTTOCENTO 80

Michele Suozzo

CONFIGURAZIONI DELLA MONTAGNA 
NELLA LETTERATURA

DEL TARDO SETTECENTO               86 
Marco Cerruti

PAESAGGIO E REVIVAL GOTICO NEI

TESTI LETTERARI DEL PRIMO OTTOCENTO 96

William Spaggiari

LE ALPI, DA ORRIDE A SUBLIMI

NELLA LETTERATURA FRANCESE       110

Luciano Tamburini

IL MONTE E LA BALENA: IL SUBLIME 
DELL'ORIGINE NEL ROMANTICISMO      123 
Mario Domenichelli

LA CERTOSA DELLE ALPI: PELLEGRINAGGI 
GOTICI NEL PIEMONTE DELL'OTTOCENTO 132 
Rinaldo Rinaldi

L'INVENZIONE DEL ROMANICO

NELLE ALPI OCCIDENTALI              146

Carlo Tosco

DA HAUTECOMBE A CHAMBERY: ALLA 
RICERCA DI UN MEDIOEVO SABAUDO    163 
Elena Dellapiana

L'INTERESSE PER LA CULTURA ALPINA.

TRA LA NASCITA DEL MUSEO CIVICO

DI TORINO E LA PROGETTAZIONE

DEL BORGO MEDIEVALE              175

Giulia Carpignano

CONCLUSIONI                         181 
Renato Bordone

TAVOLE                            186";;
380;03\02\001;;;Arte preistorica e protostorica;Carrà Massimo;Dai nuraghi agli Etruschi;La scultura minore nell'Italia preromana;;Fratelli Fabbri Editori;Milano;1.966;158;;;;Dai nuraghi agli etruschi.Civiltà e arte nell'Italia antichissima.I bronzetti nuragici.;;
252;03\05\001;;;arte classica;Giuseppe Foti e Claudio Sabbione;I bronzi di Riace;;;Istituto geografico deAgostini-Novara;Novara;1.981;;;;;Rinvenimento e restauro. Ritrovamento di Porticello. Gli altri bronzi celebri. La lavorazione del bronzo nell’antichità.;;
435;03\05\002;;;Arte classica;Adam Robert;Manuale di architettura classica;;;Sugarco Edizioni;Varese;1.994;316;;;;;;
253;03\06\001;;;Arte medioevale;Gregori M. (a cura di);Pittura murale in Italia;Dal tardo duecento ai primi del quattrocento;Pittura murale in Italia;Edizione Bolis e Istituto San Paolo di Torino;Bergamo;1.995;252;1;;1° di 4 manca il 4°;"Dal tardo duecento alla fine del ‘300 periodo tardo gotico con riferimento alle regioni ed alle città.
Roma, Assisi, Firenze, Siena, Pisa, Sardegna, Pistia, Lucca, Arezzo, i Riminesi, Bologna ed altri centri dell'Emilia, le Venezie, Lombardia, Piemonte, Liguria, Umbria, Marche, Abruzzo, Italia meridonale. Il periodo tardogotico: Italia settentrionale, Bologna ed altri centri dell'Emilia, Italia centrale, Italia merdionale.";saggio;
893;03\06\002;;;Arte medioevale;BERTOLOTTO C.,CIMA M., GHEDIN L., GUALANO F., SCALVA G.;Il ciclo gotico di Villa Castelnuovo;Intervento disalvataggio e valorizzazione;Pittura murale in Italia;Ed.Nautilus;Torino;2.006;63;;;;;;
255;03\06\003;;;Arte medioevale;AA.VV.;Pittura murale in Italia;Il Cinquecento;Pittura murale in Italia;Edizione Bolis e Istituto San Paolo di Torino;Bergamo;1.997;252;1;;seconda metà del 2°;Firenze e Toscana, Roma ed altri centri del Lazio, Umbra, Marche, Emilia e Romagna, le Venezie, Lombardia, Piemonte, Genova e Liguria, Italia meridionale, Abruzzo.;saggio;
331;03\06\004;;;Arte medioevale;Botta Antonio;Palazzo Traversa;e il comune di Bra nel tardo medioevo;;Biblioteca Civica di Bra;Bra;1.982;53;;;;;;
332;03\06\005;;;Arte medioevale;AA.VV;L'antica pieve di S.Germano;Storia e immagini;;Associazione culturale Varzi Viva;Varzi;1.997;24;;;;;;
333;03\06\006;;;Arte medioevale;Manzione Carmelo;La cappella delle Crociate del duomo di Salerno;I mosaici;;Biblioteca Provinciale Salerno;Salerno;2.000;40;;;;;;
436;03\06\007;;;Arte medievale;Galante Garrone - Reviglio della Veneria;La cappella di S.Paolo a Mondovì Carassone;;;Valeo;Torino;1.986;93;;;;Il recupero di una Madonna del '400 - Il fatto d'armi del 21 aprile 1796;;
584;03\06\008;;;Arte medievale;Calò Mariani M.S.;La chiesa di San Giovanni Rotondo a San Giovanni Rotondo;Note sulle pitture parietali;;Grenzi C.;Foggia;1.999;23;;;;;;
691;03\06\009;;;Arte medievale;Sebesta Giuseppe;Il lavoro dell'uomo nel ciclo dei Mesi di Torre Aquila;;;Provincia autonoma di Trento.;Trento;1.996;236;;;;"Presentazioni	P-	5-6	Zappa	p. 109 -110
Introduzione	P-	7-12	Bibliografia, documenti	p. 110
Premessa	P-	15-17	Cavallo	p. Ili -112
			Finimenti	
Pianta	P-	19	del cavallo da tiro	p. Ili
Sala dei Mesi	P-	20-30	Traino del carro	
			con solo bue o vacca	p. 112
			Aratro	p. 113 -122
Argomenti	P-	31	Gioghi	p. 120
Rek'n.'n/i.' rotografiche	P-	32	Bibliografia, documenti	p. 122
CacciaBibliografia, documenti	P-P-	33-4848	SeminaBibliografia	p. 123 -124p. 124
PescaBibliografia, documenti	P-P-	49-5454	ErpiceBiblografia, documenti	p. 125 -126p. 126
			Mietitura	p. 127-132
Fabbro				
-Maniscalco-Armi	Bibliografia	p. 132
-Annaiolo - Armature	Sgranatura - Trebbiatura
- Tornei	P-	55-82	- Vagliatura	p. 133 -134
Ferri da cavallo	P-	60	Correggiato	p. 133
Ferri da bue e vacca	P-	66	Vagliatura	p. 133
Morsi	P-	66	Bibliografia	p. 134
Speroni Staffa	P-P-	68 69	Mulini	p. 135-138
Sella	P-	71	Bibliografìa, documenti	p. 138
Scudo	P-	73	Carro	p. 139 -146
Armatura Tornei	P-	75 78	Radiografia del carro	p. 145
Bibliografia, documenti	P-P-	82	Bibliografia, documenti	p. 146
Vestito	P-	83-90	Siepi e orti	p. 147-154
Bibliografia, documenti	P-	90	Orti	p. 149
			Rape	p. 150
Vestito contadino	P-	91-98	Verzieri	p. 151
Calzature	P-	93	Giardini	p. 153
Copricapi	P-	95	Bibliografia	p. 154
Copricapi di feltro Acconciatura capelli Bibliografia, documenti	P-P-P-	96 97 98	MalgaAndare in malga Ciclo produttivo	p. 155-160p. 157 p.158
Abitazioni	P-	99 -108	Burro	p.158
Pozzo	P-	105	Formaggio	p.159
Bibliografia, documenti	P-	108	Bibliografia	p.160
Fienagione

p. 161-170

p. 165 
p. 165 
p. 166 
p. 167 
p. 167 
p. 170

p. 171 -188

Rastrello

Forca

Incudinella da falce

Cote

Bossolo - portacote

Bibliografia

Vite - Vino

Cerchi da botte      p. 173 
Preparazione della doga e

assemblaggio botte   p. 176 
Pigiatura            p. 180 
Torchio              p. 183 
Bibliografia, documenti p. 188

Maiali

Bibliografia 

p. 189 -194

p. 194

Legno

Bibliografia

Edilizia

Calce 
Bibliografìa

p. 195-

p. 202

p. 203-

p.208 
p.213

p. 215-

Indice analitico

per argomenti

per località

per autori antichi e moderni

per nomi di persone

per popoli

per edifici religiosi

per Capitolari - Editti

- Leggi - Statuti";;
696;03\06\010;;;Arte medievale;AA.VV.;Del costruire:tecniche,artisti,artigiani,committenti.;Arti e storia nel medioevo;;Einaudi;Torino;2.003;724;;;;"BEAT BRENK
Committenza e retorica
3   i. Introduzione
6   2. Artisti «e diversis nationibus» e materiali «undique conquisitis», o la «retorica dell'alterila»
CARLO TOSCO Gli architetti e le maestranze
43   i. Premessa
44   2. Le maestranze nel mondo latino-germanico
55   3. Architetti per un impero: l'età carolingia
59   4. I nuovi protagonisti del romanico
61   5. Gli architetti riconosciuti
65   6. Architetti di cantiere e architetti di teoria
ROBERTO GRECI I cantieri: le corporazioni
69   i. Premessa 71   2, Un'età di transizione
79   3. Anacronistiche persistenze, lente innovazioni, diversità 96   4. Gli artigiani tra lavoro e politica 105   5. Conclusioni
GIUSEPPE SERGI
Le sedi religiose
107   i. Premessa 107   2.1 monasteri dei primi secoli medievali

3. Diocesi e reclutamento dei vescovi
4. Prestigio e poteri nelle cattedrali
5. Li chiese nelle campagne
6. I monasteri benedettini dei secoli centrali
7. Dai Benedettini ai Cistercensi, ai Certosini, agli Ospitalieri
8. La variegata capillarità delle sedi religiose tardomedievali
ANNE PRAGHE Caratteri edilizi di chiese e monasteri
125    i. Le chiese 149    2.1 monasteri e gli edifici canonicali
PAOLA GUGLIELMOTTI Sedi e funzioni civili
155    i. Premessa
157    2. Fortificazioni rurali: dall'età tardo-antica al ne secolo
163    3. Castelli e palazzi di vescovi e di potenti nelle città fino all'età comunale
169    4. Il proliferare delle fortificazioni dal tardo IX secolo
177    5. Palazzi e castelli delle città tardomedievali
ALDO A. SETTIA I caratteri edilizi di castelli e palazzi
187    i. La «preistoria» del castello medievale 192    2. L'incastellamento di età postcarolingia 198    3. Le innovazioni del xn secolo 205    4. Gli ultimi due secoli del Medioevo 208    5. Il palazzo
213 219
229
CHIARA PICCININI
Osservazioni sulla scultura architettonica monumentale:
i portali scolpiti fra romanico e gotico
1. Premessa
2. Dal romanico al gotico
3. Uno sguardo sui cantieri
ARTURO CARLO QUINTAVALLE Riforma gregoriana, scultura e arredi liturgici fra xi e xn secolo
235    i. Premessa
236    2. Testi e arredo fisso
239    3. Premesse paleocristiane e altomedievali
242    4. L'età della Riforma

IX
ALESSIO MONCIATTI Degli arredi pittorici e musivi
p. 267   i. «Non a pictoribus sed a scriptoribus comptehendi»
269    2. Problemi di definizioni e descrizione
270    3. L'architettura come contenitore e vincolo 273    4. Arte sacra: continuità nelle iconografìe bibliche 277    5. Invenzione, disposizione, esecuzione 281    6. Per la committenza
283    7. Scuole regionali e congiunture transnazionali 286    8. La pittura murale e le altre tecniche 288    9. Arte secolare: altre continuità e diversificazione d'impiego 293    io. «Est autem naturale nomini ut per sensibilia ad intellegibilia veniat» 296    11. II Trecento italiano
299    i2. «Alla mia penna non dee essere meno d'auttorità conceduta che sia al pennello del dipintore»
MARCO COLLARETA
Arredi, suppellettili, decorazioni mobili
303    i. Premessa 503    2. I limiti del campo 306    3. Lo spazio sacro 315    4. Lo spazio profano 325    5. Verso il collezionismo
CLAUDIO FRANZONI
«Presente del passato»: le forme classiche nel Medioevo
329    i. «Post spatia temporum a voragine terrae abstracta»: interpretare il riuso
334    2. Interpretare «{ustamente»
339    3. Sotto il segno dell'ambiguità: la «conversio» delle immagini
347    4. Dal reimpiego all'imitazione: l'«Ercole Orario» di Ravenna e i telamoni modenesi
355    5. L'incantamento dell'antico
JOAQUIN YARZA LUACES
Le radici dell'arte medievale
361    i. Premessa
361    2. L'eredità antica
371    3. La tradizione ebraica
FABRIZIO CRIVELLO
Nord e Mediterraneo nella genesi dell'arte medievale
373    i. Introduzione 375    2. I presupposti tardo-antichi

p. 379    3. Le Isole britanniche 385    4. Gli sviluppi sul continente
NORBERTO GRAMACCINI e THOMAS RAFF
Iconologia delle materie
395    i. Premessa";;
